sheet,experiment,plant_no,plant_height_cm,shoot_length_cm,root_length_cm,head_diameter_cm,stem_diameter_cm,total_weight_g,shoot_weight_g,root_weight_g,no_of_leaves,replicate,date,tme,ph,ec,tds,water_temp,date_1,tme_1,rh%,air_temp,co2,100000_replicate_1_t1_ph,100000_replicate_1_t1_ec,100000_replicate_1_t1_tds,100000_replicate_1_t1_water_temp,100000_replicate_2_t1_ph,100000_replicate_2_t1_ec,100000_replicate_2_t1_tds,100000_replicate_2_t1_water_temp,100000_replicate_3_t1_ph,100000_replicate_3_t1_ec,100000_replicate_3_t1_tds,100000_replicate_3_t1_water_temp,100000_replicate_1_t2_ph,100000_replicate_1_t2_ec,100000_replicate_1_t2_tds,100000_replicate_1_t2_water_temp,100000_replicate_2_t2_ph,100000_replicate_2_t2_ec,100000_replicate_2_t2_tds,100000_replicate_2_t2_water_temp,100000_replicate_3_t2_ph,100000_replicate_3_t2_ec,100000_replicate_3_t2_tds,100000_replicate_3_t2_water_temp,100000_air_air_parameters,100000_air_temp_col_26,100000_rh%_col_27,100000_rh%_col_28,140000_replicate_1_t1_ph,140000_replicate_1_t1_ec,140000_replicate_1_t1_tds,140000_replicate_1_t1_water_temp,140000_replicate_2_t1_ph,140000_replicate_2_t1_ec,140000_replicate_2_t1_tds,140000_replicate_2_t1_water_temp,140000_replicate_3_t1_ph,140000_replicate_3_t1_ec,140000_replicate_3_t1_tds,140000_replicate_3_t1_water_temp,140000_replicate_1_t2_ph,140000_replicate_1_t2_ec,140000_replicate_1_t2_tds,140000_replicate_1_t2_water_temp,140000_replicate_2_t2_ph,140000_replicate_2_t2_ec,140000_replicate_2_t2_tds,140000_replicate_2_t2_water_temp,140000_replicate_3_t2_ph,140000_replicate_3_t2_ec,140000_replicate_3_t2_tds,140000_replicate_3_t2_water_temp,140000_air_air_parameters,140000_air_temp_col_54,140000_rh%_col_55,replicate_1_t1,replicate_2_t1,replicate_3_t1,replicate_1_t2,replicate_2_t2,replicate_3_t2,system,hd_cm,shoot_weight_before_removing_wilted_leaves_g,shoot_weight_after_removing_wilted_leaves_g,noof_leaves
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,06:00:00,67.12,23.53,478.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,07:00:00,65.3,26.06,480.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,08:00:00,62.96,25.3,458.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,09:00:00,61.27,24.63,447.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,10:00:00,58.98,26.31,442.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,11:00:00,56.6,27.35,437.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,12:00:00,54.89,28.88,434.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,13:00:00,54.11,28.69,429.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,14:00:00,54.3,28.33,424.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,15:00:00,54.88,27.57,422.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,16:00:00,56.02,26.13,424.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,17:00:00,57.46,24.83,423.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,18:00:00,59.04,23.99,427.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,19:00:00,60.51,23.51,431.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,20:00:00,61.23,25.33,436.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,21:00:00,60.84,27.06,443.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,22:00:00,61.69,26.22,446.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor_water_quality,Experiment 3,,,,,,,,,,,Replicate 1 T1,,,,,,,2024-05-22,23:00:00,62.57,25.55,450.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
