experiment,replicate,date,tme,ph,ec,tds,water_temp,date_1,tme_1,rh%,air_temp,co2
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,20:00:00,56.53,26.87,426.73
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,21:00:00,57.07,26.6,431.16
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,22:00:00,58.34,25.78,439.95
Experiment 3,Replicate 1 T1,,,,,,,2024-05-20,23:00:00,59.15,25.32,450.68
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,00:00:00,59.66,24.89,453.4
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,01:00:00,60.51,24.36,452.42
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,02:00:00,61.8,23.64,456.39
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,03:00:00,62.67,23.22,467.41
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,04:00:00,62.97,23.01,474.62
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,05:00:00,63.64,22.29,476.89
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,06:00:00,64.22,22.81,483.94
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,07:00:00,62.92,26.0,484.33
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,08:00:00,61.71,23.87,469.09
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,09:00:00,59.58,24.74,456.84
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,10:00:00,56.85,27.24,457.03
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,11:00:00,55.41,26.26,445.84
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,12:00:00,54.91,26.93,437.78
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,13:00:00,53.52,27.59,433.96
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,14:00:00,53.42,27.65,426.63
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,15:00:00,54.14,26.95,427.28
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,16:00:00,55.37,26.19,428.56
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,17:00:00,56.69,24.77,428.63
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,18:00:00,58.52,23.75,427.66
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,19:00:00,59.67,24.19,435.13
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,20:00:00,58.57,27.7,441.69
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,21:00:00,58.83,27.66,445.33
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,22:00:00,60.35,26.82,447.65
Experiment 3,Replicate 1 T1,,,,,,,2024-05-21,23:00:00,61.62,25.79,450.4
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,00:00:00,62.87,25.4,455.0
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,01:00:00,63.79,24.83,457.8
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,02:00:00,64.55,24.35,456.28
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,03:00:00,65.51,23.73,458.1
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,04:00:00,66.16,23.43,460.87
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,05:00:00,66.83,23.05,466.58
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,06:00:00,67.12,23.53,478.97
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,07:00:00,65.3,26.06,480.53
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,08:00:00,62.96,25.3,458.13
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,09:00:00,61.27,24.63,447.4
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,10:00:00,58.98,26.31,442.47
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,11:00:00,56.6,27.35,437.36
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,12:00:00,54.89,28.88,434.54
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,13:00:00,54.11,28.69,429.74
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,14:00:00,54.3,28.33,424.56
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,15:00:00,54.88,27.57,422.58
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,16:00:00,56.02,26.13,424.39
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,17:00:00,57.46,24.83,423.31
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,18:00:00,59.04,23.99,427.84
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,19:00:00,60.51,23.51,431.29
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,20:00:00,61.23,25.33,436.26
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,21:00:00,60.84,27.06,443.12
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,22:00:00,61.69,26.22,446.09
Experiment 3,Replicate 1 T1,,,,,,,2024-05-22,23:00:00,62.57,25.55,450.09
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,00:00:00,63.63,25.06,452.4
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,01:00:00,64.6,24.47,453.55
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,02:00:00,65.49,23.9,455.66
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,03:00:00,66.23,23.71,461.03
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,04:00:00,66.74,23.48,462.62
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,05:00:00,67.18,23.22,468.5
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,06:00:00,67.35,23.98,484.59
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,07:00:00,64.54,26.31,483.71
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,08:00:00,62.12,25.48,456.95
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,09:00:00,60.25,25.49,446.46
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,10:00:00,58.77,27.08,448.88
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,11:00:00,56.7,27.47,443.77
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,12:00:00,54.94,28.05,440.79
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,13:00:00,52.18,30.39,447.93
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,14:00:00,54.77,27.05,431.44
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,15:00:00,56.83,25.53,433.96
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,16:00:00,57.11,25.26,434.3
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,17:00:00,58.41,24.69,432.69
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,18:00:00,58.98,25.28,430.74
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,19:00:00,61.74,23.93,428.54
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,20:00:00,61.29,26.76,438.87
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,21:00:00,61.14,26.91,441.1
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,22:00:00,61.81,25.72,443.67
Experiment 3,Replicate 1 T1,,,,,,,2024-05-23,23:00:00,62.96,24.88,443.38
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,00:00:00,63.79,24.12,446.91
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,01:00:00,64.7,23.42,452.19
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,02:00:00,65.64,22.83,449.24
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,03:00:00,66.48,22.34,450.43
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,04:00:00,66.96,21.85,451.26
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,05:00:00,67.18,21.42,454.9
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,06:00:00,67.2,22.13,459.83
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,07:00:00,66.46,26.01,461.68
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,08:00:00,64.45,23.33,450.97
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,09:00:00,62.69,24.44,444.89
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,10:00:00,58.84,27.03,442.95
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,11:00:00,56.87,26.47,434.03
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,12:00:00,56.15,25.4,429.47
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,13:00:00,55.15,25.75,429.57
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,14:00:00,55.3,25.24,426.36
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,15:00:00,56.14,25.28,424.97
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,16:00:00,55.76,26.8,426.61
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,17:00:00,55.51,27.1,423.95
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,18:00:00,55.62,27.62,423.71
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,19:00:00,56.7,25.95,422.72
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,20:00:00,57.97,23.97,424.72
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,21:00:00,58.56,23.26,430.01
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,22:00:00,59.76,22.96,434.01
Experiment 3,Replicate 1 T1,,,,,,,2024-05-24,23:00:00,60.85,22.46,438.92
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,00:00:00,62.01,22.0,442.14
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,01:00:00,63.09,21.69,445.03
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,02:00:00,63.71,21.4,451.4
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,03:00:00,64.48,21.2,453.89
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,04:00:00,64.44,20.87,459.49
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,05:00:00,64.73,20.57,460.16
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,06:00:00,65.45,21.42,461.97
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,07:00:00,64.44,25.08,462.05
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,08:00:00,61.94,26.67,456.83
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,09:00:00,59.87,26.88,449.94
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,10:00:00,57.76,26.27,439.82
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,11:00:00,56.82,25.42,432.88
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,12:00:00,55.75,25.91,431.96
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,13:00:00,54.94,25.73,426.31
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,14:00:00,55.12,25.31,420.96
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,15:00:00,55.15,25.74,418.66
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,16:00:00,54.19,25.99,415.28
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,17:00:00,55.53,23.61,414.29
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,18:00:00,55.36,27.3,417.43
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,19:00:00,56.04,26.55,418.83
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,20:00:00,57.81,25.03,423.83
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,21:00:00,58.47,24.26,428.3
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,22:00:00,59.35,23.37,431.43
Experiment 3,Replicate 1 T1,,,,,,,2024-05-25,23:00:00,60.25,22.43,431.11
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,00:00:00,61.69,21.42,436.25
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,01:00:00,62.53,20.78,441.38
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,02:00:00,63.47,19.82,451.88
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,03:00:00,63.74,19.64,455.03
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,04:00:00,64.36,19.22,466.88
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,05:00:00,64.34,19.21,479.51
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,06:00:00,65.12,20.26,482.72
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,07:00:00,64.81,24.57,474.35
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,08:00:00,61.63,27.07,456.24
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,09:00:00,58.17,28.07,437.73
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,10:00:00,55.25,28.64,428.2
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,11:00:00,53.26,27.89,421.35
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,12:00:00,52.3,26.67,417.27
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,13:00:00,51.39,27.58,410.88
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,14:00:00,51.43,25.34,407.61
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,15:00:00,47.99,29.88,407.68
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,16:00:00,51.31,25.18,411.3
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,17:00:00,51.96,26.73,419.67
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,18:00:00,52.42,27.08,421.28
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,19:00:00,52.92,27.89,421.21
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,20:00:00,54.42,27.53,426.5
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,21:00:00,55.22,27.41,431.57
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,22:00:00,55.52,27.28,434.2
Experiment 3,Replicate 1 T1,,,,,,,2024-05-26,23:00:00,56.79,26.34,432.73
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,00:00:00,57.84,26.04,427.22
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,01:00:00,58.39,25.44,429.85
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,02:00:00,59.75,24.75,439.72
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,03:00:00,60.58,24.76,462.13
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,04:00:00,59.97,25.98,482.01
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,05:00:00,57.9,27.33,470.88
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,06:00:00,56.42,26.85,457.14
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,07:00:00,55.82,27.18,451.03
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,08:00:00,55.5,26.79,443.35
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,09:00:00,56.34,25.19,434.63
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,10:00:00,56.6,25.95,432.17
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,11:00:00,55.84,27.02,431.58
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,12:00:00,54.84,27.53,428.83
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,13:00:00,54.12,27.63,428.08
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,14:00:00,54.37,27.14,426.23
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,15:00:00,54.97,26.06,422.73
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,16:00:00,56.47,24.64,420.61
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,17:00:00,56.68,25.96,423.62
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,18:00:00,56.47,26.66,428.91
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,19:00:00,57.17,26.63,430.36
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,20:00:00,58.98,24.9,432.9
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,21:00:00,60.16,24.0,430.57
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,22:00:00,61.16,23.41,438.84
Experiment 3,Replicate 1 T1,,,,,,,2024-05-27,23:00:00,62.16,23.13,438.83
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,00:00:00,62.76,22.49,442.9
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,01:00:00,63.57,22.1,447.01
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,02:00:00,64.22,21.7,452.69
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,03:00:00,64.78,21.48,456.98
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,04:00:00,65.46,21.13,463.09
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,05:00:00,65.78,20.82,469.52
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,06:00:00,66.22,21.69,473.75
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,07:00:00,65.8,24.43,471.64
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,08:00:00,63.44,26.62,465.77
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,09:00:00,61.6,26.79,457.59
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,10:00:00,61.0,27.06,454.24
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,11:00:00,60.62,26.85,472.02
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,12:00:00,58.56,26.4,450.71
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,13:00:00,56.45,26.27,440.76
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,14:00:00,56.82,24.99,437.9
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,15:00:00,57.4,25.01,436.72
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,16:00:00,58.35,24.86,435.26
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,17:00:00,58.45,25.03,436.77
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,18:00:00,60.05,21.46,429.92
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,19:00:00,60.81,21.72,434.14
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,20:00:00,60.66,23.13,434.15
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,21:00:00,60.27,22.88,433.49
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,22:00:00,60.27,22.28,440.0
Experiment 3,Replicate 1 T1,,,,,,,2024-05-28,23:00:00,60.63,21.64,444.13
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,00:00:00,61.14,21.1,450.43
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,01:00:00,61.59,20.71,453.53
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,02:00:00,62.17,20.27,460.06
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,03:00:00,62.76,19.68,466.69
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,04:00:00,63.56,19.05,478.42
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,05:00:00,64.15,18.78,482.3
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,06:00:00,64.31,19.49,480.9
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,07:00:00,63.44,22.36,467.22
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,08:00:00,62.18,22.96,452.12
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,09:00:00,62.39,22.33,450.92
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,10:00:00,61.05,23.78,449.34
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,11:00:00,59.55,24.64,449.29
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,12:00:00,58.5,24.68,444.76
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,13:00:00,57.33,25.53,438.96
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,14:00:00,56.93,25.35,437.29
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,15:00:00,57.46,24.22,435.35
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,16:00:00,58.65,23.66,433.44
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,17:00:00,59.84,21.85,428.68
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,18:00:00,60.91,20.66,430.52
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,19:00:00,62.17,19.88,439.33
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,20:00:00,62.96,19.23,445.16
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,21:00:00,63.76,18.58,456.21
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,22:00:00,64.54,18.25,462.39
Experiment 3,Replicate 1 T1,,,,,,,2024-05-29,23:00:00,65.28,17.88,466.79
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,00:00:00,66.27,17.97,469.01
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,01:00:00,66.33,18.7,472.04
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,02:00:00,65.36,19.38,474.21
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,03:00:00,65.14,19.33,476.37
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,04:00:00,65.18,19.1,477.1
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,05:00:00,65.51,18.73,478.59
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,06:00:00,65.02,19.56,475.14
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,07:00:00,63.64,21.9,457.83
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,08:00:00,63.01,22.58,446.83
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,09:00:00,63.17,22.41,443.32
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,10:00:00,61.69,23.25,441.6
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,11:00:00,59.94,23.82,448.18
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,12:00:00,58.13,24.76,445.37
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,13:00:00,55.66,27.74,441.49
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,14:00:00,54.91,27.26,436.93
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,15:00:00,55.41,26.88,434.44
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,16:00:00,55.56,27.27,433.24
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,17:00:00,56.01,27.39,433.12
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,18:00:00,55.84,27.89,432.2
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,19:00:00,56.82,26.66,434.8
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,20:00:00,58.8,24.52,438.54
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,21:00:00,60.0,23.01,438.07
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,22:00:00,60.77,22.4,440.66
Experiment 3,Replicate 1 T1,,,,,,,2024-05-30,23:00:00,61.86,22.09,442.21
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,00:00:00,62.55,21.59,446.41
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,01:00:00,63.25,21.03,450.36
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,02:00:00,63.94,20.44,455.1
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,03:00:00,64.44,19.7,463.52
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,04:00:00,64.97,19.54,474.89
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,05:00:00,65.3,19.43,478.31
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,06:00:00,65.81,20.59,479.33
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,07:00:00,64.67,25.03,472.5
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,08:00:00,61.56,27.29,462.55
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,09:00:00,58.33,27.89,451.68
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,10:00:00,55.76,28.18,443.48
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,11:00:00,53.91,27.39,442.96
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,12:00:00,53.27,26.62,438.43
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,13:00:00,53.69,25.03,435.54
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,14:00:00,53.95,24.84,434.77
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,15:00:00,54.63,24.73,434.68
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,16:00:00,55.58,25.86,435.5
Experiment 3,Replicate 1 T1,,,,,,,2024-05-31,17:00:00,55.33,26.73,438.41
